signal_date,trade_date,action,sector,from_sector,to_sector,rs20,score,reason,target_weight,nav_at_open,cycle_return,losing_cycle_streak
2020-07-01,2020-07-02,BUY,商贸零售,,商贸零售,1.5572501488638326,1.5572501488638326,ENTRY_TOP1,1.0,733804.1752643944,,
2020-07-03,2020-07-06,SELL,商贸零售,商贸零售,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,845400.0349032334,0.15207852912342767,0.0
2020-07-06,2020-07-07,BUY,商贸零售,,商贸零售,1.9703671891775818,1.9703671891775818,ENTRY_TOP1,1.0,845400.0349032334,,
2020-07-21,2020-07-22,SWITCH,军工,商贸零售,军工,1.5132472082329753,1.5132472082329753,STRONGER_RS20_MARGIN_4%,1.0,813310.5508193654,,
2020-08-03,2020-08-04,SELL,军工,军工,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,970381.7485793757,0.14783736517168222,0.0
2020-08-04,2020-08-05,BUY,军工,,军工,1.343761934138245,1.343761934138245,ENTRY_TOP1,1.0,970381.7485793757,,
2020-08-18,2020-08-19,SWITCH,农业种植,军工,农业种植,1.3770779098096242,1.3770779098096242,STRONGER_RS20_MARGIN_4%,1.0,1181004.702095638,,
2020-08-26,2020-08-27,SELL,农业种植,农业种植,,,,DOUBLE_MA20_BREAK,0.0,1068958.6845508453,0.10158572759203754,0.0
2020-09-01,2020-09-02,BUY,纺织服饰,,纺织服饰,1.1342401883119821,1.1342401883119821,ENTRY_TOP1,1.0,1068958.6845508453,,
2020-09-10,2020-09-11,SELL,纺织服饰,纺织服饰,,,,DOUBLE_MA20_BREAK,0.0,1021402.5328477677,-0.044488297247016306,1.0
2020-09-18,2020-09-21,BUY,工程机械,,工程机械,1.126752026668687,1.126752026668687,ENTRY_TOP1,1.0,1021402.5328477677,,
2020-10-15,2020-10-16,SWITCH,风电设备,工程机械,风电设备,1.296213596845456,1.296213596845456,STRONGER_RS20_MARGIN_4%,1.0,1071075.1782046286,,
2020-10-28,2020-10-29,SWITCH,AI医疗,风电设备,AI医疗,1.2293242135395386,1.2293242135395386,STRONGER_RS20_MARGIN_4%,1.0,935009.2438568485,,
2020-11-03,2020-11-04,SWITCH,机器人,AI医疗,机器人,1.3461190469662487,1.3461190469662487,STRONGER_RS20_MARGIN_4%,1.0,935744.3375689115,,
2020-11-27,2020-11-30,SELL,机器人,机器人,,,,TREND_T3,0.0,963425.45594011,-0.05676222159544886,2.0
2020-12-03,2020-12-04,BUY,工程机械,,工程机械,1.1974757951339832,1.1974757951339832,ENTRY_TOP1,1.0,963425.45594011,,
2020-12-21,2020-12-22,SWITCH,储能,工程机械,储能,1.192011659364043,1.192011659364043,STRONGER_RS20_MARGIN_4%,1.0,964562.4117418885,,
2021-01-04,2021-01-05,SELL,储能,储能,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,1114196.1206581732,0.15649437513662257,0.0
2021-01-05,2021-01-06,BUY,储能,,储能,1.5338929632705334,1.5338929632705334,ENTRY_TOP1,1.0,1114196.1206581732,,
2021-01-19,2021-01-20,SWITCH,智能驾驶,储能,智能驾驶,1.2995596806893057,1.2995596806893057,STRONGER_RS20_MARGIN_4%,1.0,1090342.1308133076,,
2021-01-28,2021-01-29,SWITCH,储能,智能驾驶,储能,1.3346103851679552,1.3346103851679552,STRONGER_RS20_MARGIN_4%,1.0,1080092.9889748448,,
2021-02-02,2021-02-03,SWITCH,基础化工,储能,基础化工,1.2610568872804169,1.2610568872804169,STRONGER_RS20_MARGIN_4%,1.0,1092935.9191611765,,
2021-02-24,2021-02-25,SWITCH,农林牧渔,基础化工,农林牧渔,1.3321488128325263,1.3321488128325263,STRONGER_RS20_MARGIN_4%,1.0,1195641.446706663,,
2021-03-05,2021-03-08,SELL,农林牧渔,农林牧渔,,,,DOUBLE_MA20_BREAK,0.0,1141353.1265250938,0.024373631682435226,0.0
2021-04-07,2021-04-08,BUY,航运港口,,航运港口,1.1648219441770935,1.1648219441770935,ENTRY_TOP1,1.0,1141353.1265250938,,
2021-04-13,2021-04-14,SELL,航运港口,航运港口,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,1067181.3291635436,-0.06498584499204896,1.0
2021-05-19,2021-05-20,BUY,储能,,储能,1.346959082140319,1.346959082140319,ENTRY_TOP1,1.0,1067181.3291635436,,
2021-06-16,2021-06-17,SELL,储能,储能,,,,DOUBLE_MA20_BREAK,0.0,1121214.6200855863,0.050631780603202614,0.0
2021-06-28,2021-06-29,BUY,消费电子,,消费电子,1.1664620492468585,1.1664620492468585,ENTRY_TOP1,1.0,1121214.6200855863,,
2021-07-08,2021-07-09,SWITCH,储能,消费电子,储能,1.3107914154455735,1.3107914154455735,STRONGER_RS20_MARGIN_4%,1.0,1077369.262934006,,
2021-07-26,2021-07-27,SWITCH,稀土永磁,储能,稀土永磁,1.7999801436277596,1.7999801436277596,STRONGER_RS20_MARGIN_4%,1.0,1250657.7953885153,,
2021-07-29,2021-07-30,SELL,稀土永磁,稀土永磁,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,1287245.7872768862,0.1480815217862803,0.0
2021-08-09,2021-08-10,BUY,液冷,,液冷,1.4942697619747283,1.4942697619747283,ENTRY_TOP1,1.0,1287245.7872768862,,
2021-08-17,2021-08-18,SELL,液冷,液冷,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,1212414.7570732387,-0.0581326666152463,1.0
2021-08-23,2021-08-24,BUY,风电设备,,风电设备,1.2103299059113106,1.2103299059113106,ENTRY_TOP1,1.0,1212414.7570732387,,
2021-08-27,2021-08-30,SWITCH,煤炭,风电设备,煤炭,1.2396944196688253,1.2396944196688253,STRONGER_RS20_MARGIN_4%,1.0,1186112.3766732647,,
2021-09-06,2021-09-07,SWITCH,电网设备,煤炭,电网设备,1.2945568106960745,1.2945568106960745,STRONGER_RS20_MARGIN_4%,1.0,1335051.0345548152,,
2021-09-10,2021-09-13,SWITCH,建筑装饰,电网设备,建筑装饰,1.3333333333333335,1.3333333333333335,STRONGER_RS20_MARGIN_4%,1.0,1364325.5369575364,,
2021-09-22,2021-09-23,SWITCH,风电设备,建筑装饰,风电设备,1.3704857808246136,1.3704857808246136,STRONGER_RS20_MARGIN_4%,1.0,1341692.0032432755,,
2021-10-15,2021-10-18,SELL,风电设备,风电设备,,,,DOUBLE_MA20_BREAK,0.0,1248376.6494803505,0.02966137800394608,0.0
2021-10-26,2021-10-27,BUY,汽车零部件,,汽车零部件,1.3179055633473586,1.3179055633473586,ENTRY_TOP1,1.0,1248376.6494803505,,
2021-11-08,2021-11-09,SWITCH,风电设备,汽车零部件,风电设备,1.4079618005257792,1.4079618005257792,STRONGER_RS20_MARGIN_4%,1.0,1358153.1341436657,,
2021-11-16,2021-11-17,SELL,风电设备,风电设备,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,1248481.0400394618,8.362104430159611e-05,0.0
2021-11-22,2021-11-23,BUY,光纤概念,,光纤概念,1.3447191144612276,1.3447191144612276,ENTRY_TOP1,1.0,1248481.0400394618,,
2021-12-02,2021-12-03,SWITCH,稀土永磁,光纤概念,稀土永磁,1.2467532467532472,1.2467532467532472,STRONGER_RS20_MARGIN_4%,1.0,1252327.0484732278,,
2021-12-16,2021-12-17,SELL,稀土永磁,稀土永磁,,,,TREND_T3,0.0,1149914.8134623112,-0.07894891745735699,1.0
2021-12-28,2021-12-29,BUY,轻工制造,,轻工制造,1.1851212951011494,1.1851212951011494,ENTRY_TOP1,1.0,1149914.8134623112,,
2022-01-05,2022-01-06,SWITCH,传媒,轻工制造,传媒,1.1932301999509596,1.1932301999509596,STRONGER_RS20_MARGIN_4%,1.0,1155647.9955043686,,
2022-01-11,2022-01-12,SELL,传媒,传媒,,,,DOUBLE_MA20_BREAK,0.0,1077229.794569222,-0.06320904648079084,2.0
2022-02-23,2022-02-24,BUY,液冷,,液冷,1.2818978010207291,1.2818978010207291,ENTRY_TOP1,1.0,1077229.794569222,,
2022-03-04,2022-03-07,SELL,液冷,液冷,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,982301.7096277388,-0.08812240936897253,3.0
2022-05-13,2022-05-16,BUY,汽车零部件,,汽车零部件,1.2442038464749925,1.2442038464749925,ENTRY_TOP1,1.0,982301.7096277388,,
2022-05-24,2022-05-25,SELL,汽车零部件,汽车零部件,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,963392.2679521253,-0.01925013617535043,4.0
2022-07-06,2022-07-07,BUY,风电设备,,风电设备,1.2668963392432009,1.2668963392432009,ENTRY_TOP1,1.0,963392.2679521253,,
