,name,open,prev,close,high,upper_limit,time,date
603809,豪能股份,8.54,8.52,8.55,8.65,9.37,11:49:06,2026-09-18
603816,顾家家居,22.46,22.3,22.38,22.82,24.53,11:49:06,2026-09-18
603833,欧派家居,28.38,28.35,28.58,28.66,31.19,11:49:11,2026-09-18
603877,太平鸟,11.79,11.77,11.87,11.93,12.95,11:49:08,2026-09-18
603983,丸美生物,28.14,28.27,29.45,29.88,31.1,11:49:20,2026-09-18
603986,兆易创新,379.99,369.88,388.75,389.99,406.87,11:49:23,2026-09-18
603993,洛阳钼业,17.57,17.35,17.43,17.66,19.09,11:49:23,2026-09-18
688009,中国通号,4.62,4.62,4.65,4.66,5.54,11:49:19,2026-09-18
688012,中微公司,357.6,351.23,359.23,360.61,421.48,11:49:17,2026-09-18
688017,绿的谐波,297.88,290.63,294.96,299.08,348.76,11:49:19,2026-09-18
688041,海光信息,236.89,232.0,244.66,245.8,278.4,11:49:09,2026-09-18
688072,拓荆科技,706.0,694.0,728.0,729.88,832.8,11:49:19,2026-09-18
688077,大地熊,26.62,26.33,26.91,27.26,31.6,11:49:08,2026-09-18
688082,盛美上海,288.0,282.45,294.95,298.0,338.94,11:49:00,2026-09-18
688111,金山办公,225.0,223.05,222.92,225.2,267.66,11:49:26,2026-09-18
688120,华海清科,270.0,265.0,274.3,275.71,318.0,11:49:12,2026-09-18
688223,晶科能源,3.77,3.74,3.8,3.82,4.49,11:48:58,2026-09-18
688256,寒武纪,1123.01,1105.99,1148.5,1154.79,1327.19,11:49:00,2026-09-18
688271,联影医疗,100.61,100.3,101.12,102.13,120.36,11:49:25,2026-09-18
688347,华虹宏力,225.21,220.9,236.42,237.62,265.08,11:49:12,2026-09-18
688525,XD佰维存,215.0,208.27,218.1,218.6,249.92,11:49:18,2026-09-18
688561,奇安信-U,27.49,27.19,28.24,28.78,32.63,11:49:24,2026-09-18
688981,中芯国际,120.78,118.62,123.24,123.3,142.34,11:49:21,2026-09-18
