date,position,target_weight,actual_weight,market_close,market_ma20,market_risk_ma_period,market_risk_ma,market_defensive_ma_period,market_defensive_ma,market_defensive,market_bear_ma_period,market_bear_ma,market_bear_ma_slope_ref,bear_confirmed,bear_entry_lock,market_above_ma20,regime_state,mainline_rise,mainline_streak,non_mainline_streak,market_below_ma20_streak,market_ma20_exit,position_close,position_ma20,position_ma10,position_daily_return,position_peak_close,position_drawdown,cycle_entry_nav,losing_cycle_streak,position_rs20,position_score,top_candidate,top_rs20,top_score,candidate_count,top_changes_in_window,fast_rotation,effective_switch_margin,switch_confirm_streak,signal,next_position,signal_reason,weak_ma10_streak,post_exit_cooldown_days,position_allocation_mode,daily_gain_pause_threshold,entry_pullback_reclaim_ma5,nav
2024-11-11,低空经济,1.0,1.0,3470.066,3308.6317499999996,180,3026.260588888889,,,False,,,,False,False,True,MAINLINE_RISE,True,6,0,0,False,205.07,181.3981,210.42579999999998,0.0318402753318372,216.23600000000002,-0.05163802512070159,708017.1458372119,0,1.6821149681737646,1.6821149681737646,国产算力,1.4954729633796047,1.4954729633796047,25,0,False,0.07,0,HOLD,低空经济,NO_STRONGER_QUALIFIED_SECTOR,3,2,equal_capital,0.085,False,732066.1219117378
2024-11-12,低空经济,1.0,1.0,3421.97,3319.66565,180,3029.5510000000004,,,False,,,,False,False,True,MAINLINE_RISE,True,7,0,0,False,200.75600000000003,185.3551,209.75680000000003,-0.021036719169064022,216.23600000000002,-0.07158844965685629,708017.1458372119,0,1.6507367451651103,1.6507367451651103,国产算力,1.484467109062578,1.484467109062578,26,0,False,0.07,0,HOLD,低空经济,NO_STRONGER_QUALIFIED_SECTOR,4,2,equal_capital,0.085,False,710526.3027069474
2024-11-13,低空经济,1.0,1.0,3439.278,3331.48215,180,3032.736416666666,,,False,,,,False,False,True,MAINLINE_RISE,True,8,0,0,False,206.66199999999998,189.6474,207.88060000000002,0.02941879694753813,216.23600000000002,-0.04427569877356241,708017.1458372119,0,1.7105515825718445,1.7105515825718445,国产算力,1.5436899702151872,1.5436899702151872,27,0,False,0.07,0,HOLD,低空经济,NO_STRONGER_QUALIFIED_SECTOR,5,2,equal_capital,0.085,False,714201.3843127815
2024-11-14,低空经济,1.0,1.0,3379.839,3342.0049,180,3035.343611111111,,,False,,,,False,False,True,MAINLINE_RISE,True,9,0,0,False,195.17000000000002,193.0704,203.83980000000003,-0.055607707270809215,216.23600000000002,-0.09742133594776081,708017.1458372119,0,1.5402888485518111,1.5402888485518111,国产算力,1.3778140964585677,1.3778140964585677,21,0,False,0.07,0,HOLD,低空经济,NO_STRONGER_QUALIFIED_SECTOR,6,2,equal_capital,0.085,False,688313.2291675751
2024-11-15,低空经济,1.0,1.0,3330.726,3345.46305,180,3037.610255555556,,,False,,,,False,False,False,MAINLINE_DECLINE,False,0,1,1,False,178.62,195.1618,200.0782,-0.08479786852487581,216.23600000000002,-0.17395808283542058,708017.1458372119,0,1.3057781156792798,1.3057781156792798,国产算力,1.26169530117988,1.26169530117988,8,0,False,0.07,0,SELL,,DOUBLE_MA20_BREAK,7,2,equal_capital,0.085,False,656687.89827051
2024-11-18,现金,0.0,0.0,3323.849,3348.25,180,3039.681883333333,,,False,,,,False,False,False,MAINLINE_DECLINE,False,0,2,2,False,,,,,,,,1,,,国产算力,1.210784463682992,1.210784463682992,2,0,False,0.07,0,CASH,,ENTRY_GATE_CLOSED_OR_NO_CANDIDATE,0,2,equal_capital,0.085,False,657172.5925067605
2024-11-19,现金,0.0,0.0,3346.01,3351.25715,180,3041.668838888889,,,False,,,,False,False,False,BROAD_DECLINE_OR_NO_LEADER,False,0,3,3,False,,,,,,,,1,,,,,,0,0,False,0.07,0,CASH,,ENTRY_GATE_CLOSED_OR_NO_CANDIDATE,0,2,equal_capital,0.085,False,657172.5925067605
2024-11-20,现金,0.0,0.0,3367.989,3354.51645,180,3043.686105555556,,,False,,,,False,False,True,BROAD_DECLINE_OR_NO_LEADER,False,0,4,0,False,,,,,,,,1,,,,,,0,0,False,0.07,0,CASH,,ENTRY_GATE_CLOSED_OR_NO_CANDIDATE,0,2,equal_capital,0.085,False,657172.5925067605
2024-11-21,现金,0.0,0.0,3370.404,3359.0235000000002,180,3045.8715611111115,,,False,,,,False,False,True,BROAD_DECLINE_OR_NO_LEADER,False,0,5,0,False,,,,,,,,1,,,,,,0,0,False,0.07,0,CASH,,ENTRY_GATE_CLOSED_OR_NO_CANDIDATE,0,2,equal_capital,0.085,False,657172.5925067605
2024-11-22,现金,0.0,0.0,3267.192,3357.3981,180,3047.269955555556,,,False,,,,False,False,False,BROAD_DECLINE_OR_NO_LEADER,False,0,6,1,False,,,,,,,,1,,,,,,0,0,False,0.07,0,CASH,,ENTRY_GATE_CLOSED_OR_NO_CANDIDATE,0,2,equal_capital,0.085,False,657172.5925067605
2024-11-25,现金,0.0,0.0,3263.76,3354.4762,180,3048.9694444444444,,,False,,,,False,False,False,MAINLINE_DECLINE,False,0,7,2,False,,,,,,,,1,,,液冷,1.1291706276519278,1.1291706276519278,1,0,False,0.07,0,CASH,,ENTRY_GATE_CLOSED_OR_NO_CANDIDATE,0,2,equal_capital,0.085,False,657172.5925067605
2024-11-26,现金,0.0,0.0,3259.757,3353.1436999999996,180,3050.3282555555556,,,False,,,,False,False,False,BROAD_DECLINE_OR_NO_LEADER,False,0,8,3,False,,,,,,,,1,,,,,,0,0,False,0.07,0,CASH,,ENTRY_GATE_CLOSED_OR_NO_CANDIDATE,0,2,equal_capital,0.085,False,657172.5925067605
2024-11-27,现金,0.0,0.0,3309.779,3355.3207500000003,180,3051.899138888889,,,False,,,,False,False,False,MAINLINE_DECLINE,False,0,9,4,False,,,,,,,,1,,,液冷,1.1569947119016553,1.1569947119016553,2,0,False,0.07,0,CASH,,ENTRY_GATE_CLOSED_OR_NO_CANDIDATE,0,2,equal_capital,0.085,False,657172.5925067605
